method	time
iterative	0.000089929
method	time
iterative	0.000179304
method	time
iterative	0.000063216
method	time
iterative	0.000495562
method	time
iterative	0.000851511
method	time
iterative	0.000279127
method	time
iterative	0.000672484
method	time
iterative	0.000528266
method	time
iterative	0.000589250
method	time
iterative	0.000183114
method	time
iterative	0.000186130
method	time
iterative	0.000187195
method	time
iterative	0.000313725
method	time
iterative	0.000515569
method	time
iterative	0.000504869
method	time
iterative	0.000482259
method	time
iterative	0.000496159
method	time
iterative	0.000299060
method	time
iterative	0.000489982
method	time
iterative	0.000460027
method	time
iterative	0.000208732
method	time
iterative	0.000214082
method	time
iterative	0.000236167
