method	time
recursive	0.000035488
method	time
iterative	0.000002175
method	time
recursive	0.000007007
method	time
iterative	0.000002435
method	time
recursive	0.000010250
method	time
recursive	0.000004108
method	time
recursive	0.000011759
method	time
recursive	0.000004212
method	time
recursive	0.000004166
method	time
recursive	0.000004244
method	time
recursive	0.000004189
method	time
recursive	0.000004129
method	time
recursive	0.000004180
method	time
recursive	0.000011712
method	time
iterative	0.000002162
method	time
iterative	0.000002136
method	time
iterative	0.000002602
method	time
iterative	0.000002135
method	time
iterative	0.000002121
method	time
iterative	0.000002142
method	time
iterative	0.000002145
method	time
iterative	0.000002174
method	time
iterative	0.000002131
method	time
iterative	0.000002145
method	time
recursive	0.000018920
method	time
recursive	0.000004815
method	time
recursive	0.000004823
method	time
recursive	0.000029200
method	time
iterative	0.000006344
